iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_train_params_dist,task_test_acc_pre_optim,task_test_acc_post_optim,task_test_params_dist
3580,0.26,0.38599998,43.872185,0.042,0.16,43.87417
3590,0.23599999,0.374,43.985752,0.048,0.17799999,43.98811
3600,0.23600002,0.38399997,44.108707,0.05,0.14400001,44.110077
3610,0.22600001,0.346,44.22249,0.058000002,0.156,44.220703
3620,0.214,0.396,44.314175,0.038,0.15200001,44.314484
3630,0.24,0.39600003,44.397606,0.042,0.16800001,44.396168
3640,0.22799999,0.37,44.47441,0.042,0.162,44.473457
3650,0.25599998,0.36200002,44.56064,0.04,0.17,44.554127
3660,0.2,0.38199997,44.630165,0.048,0.172,44.624443
3670,0.21200001,0.402,44.70967,0.042,0.19600001,44.70959
3680,0.22600001,0.39,44.787895,0.032,0.198,44.787434
3690,0.218,0.42,44.871025,0.044,0.19,44.87249
3700,0.22600001,0.39400002,44.955894,0.04,0.16399999,44.95763
3710,0.252,0.43,45.044014,0.036000002,0.15600002,45.04193
3720,0.218,0.38799998,45.130394,0.058000002,0.16600002,45.133015
3730,0.23200001,0.35799998,45.23185,0.046000004,0.17800002,45.232574
3740,0.22800002,0.408,45.33071,0.058000002,0.18,45.327843
3750,0.19,0.36400002,45.423466,0.063999996,0.186,45.424034
3760,0.2,0.378,45.521126,0.036000002,0.16800001,45.518364
3770,0.236,0.39400002,45.61787,0.052,0.162,45.616833
3780,0.23799999,0.42,45.711777,0.046000004,0.156,45.71238
3790,0.23600002,0.374,45.81501,0.05,0.168,45.8164
3800,0.222,0.402,45.909863,0.062,0.17799999,45.910946
3810,0.254,0.402,46.02567,0.05,0.172,46.02472
3820,0.22600001,0.408,46.132942,0.042000003,0.17400001,46.13276
3830,0.258,0.404,46.24391,0.044,0.16400002,46.244263
3840,0.24600002,0.406,46.34925,0.052,0.162,46.35164
3850,0.24400002,0.39600003,46.445045,0.058000002,0.174,46.447254
3860,0.23,0.35,46.53957,0.038,0.18200001,46.53872
3870,0.234,0.41799998,46.6342,0.05,0.2,46.630905
3880,0.272,0.44800004,46.76312,0.062,0.19600001,46.767193
3890,0.202,0.428,46.874348,0.05,0.176,46.88013
3900,0.254,0.39,46.97306,0.046000004,0.16399999,46.975414
3910,0.202,0.366,47.09124,0.06600001,0.16399999,47.094612
3920,0.25199997,0.382,47.22767,0.036000002,0.16,47.230568
3930,0.22399999,0.39,47.335217,0.027999999,0.168,47.335335
3940,0.254,0.42400002,47.443237,0.04,0.188,47.443413
3950,0.22799999,0.42,47.556164,0.04,0.17799999,47.564342
3960,0.26400003,0.442,47.664948,0.043999996,0.16400002,47.669857
3970,0.23,0.42,47.771236,0.038,0.156,47.77495
3980,0.21,0.38,47.886383,0.036,0.17,47.887356
3990,0.22799999,0.406,47.974495,0.048,0.172,47.972744
4000,0.262,0.39200002,48.073254,0.032,0.17799999,48.07409
4010,0.248,0.398,48.18221,0.062,0.19600002,48.18173
4020,0.22,0.382,48.291084,0.053999998,0.18200001,48.2961
4030,0.26,0.406,48.37857,0.044,0.146,48.376446
4040,0.216,0.37600002,48.46875,0.04,0.172,48.468575
4050,0.21200001,0.404,48.55593,0.04,0.17,48.552677
4060,0.25800002,0.42,48.64511,0.06600001,0.16199999,48.646454
4070,0.236,0.406,48.759926,0.046000004,0.156,48.76117
4080,0.22199999,0.36200002,48.859917,0.036000002,0.15,48.860603
4090,0.216,0.38799998,48.964325,0.056000005,0.186,48.966133
4100,0.26,0.412,49.072342,0.046000004,0.156,49.07242
4110,0.2,0.43799996,49.17627,0.042,0.18200001,49.181244
4120,0.23600002,0.41799998,49.27823,0.036000002,0.192,49.278877
4130,0.23200001,0.39200002,49.375103,0.042000003,0.18200001,49.376778
4140,0.23799999,0.39,49.473816,0.052,0.17400001,49.47616
4150,0.21800001,0.404,49.56248,0.03,0.162,49.56236
4160,0.27,0.41599998,49.67112,0.056000005,0.17800002,49.668957
4170,0.23400001,0.38399997,49.74674,0.046,0.2,49.744774
4180,0.22,0.402,49.83269,0.044,0.17800002,49.83245
4190,0.24200001,0.406,49.92651,0.042,0.16399999,49.932373
4200,0.21200001,0.432,50.039043,0.062,0.16,50.04194
4210,0.256,0.37600002,50.13372,0.056000005,0.186,50.13435
4220,0.25800002,0.39400002,50.24486,0.056000005,0.138,50.244694
4230,0.23200001,0.376,50.333416,0.06,0.176,50.334282
4240,0.25,0.42,50.41963,0.042,0.17400001,50.423286
